term,term_normalized,is_multi_word,subjects,grade_bands,standard_ref,awl_match,is_latin_derived,is_greek_derived,etymology_evidence,is_bridge_priority,transliteration_difficulty,frequency,pos
higher,higher,False,ela|math,3-5|6-8|9-12|K-2,,False,False,False,,False,low,139,PROPN
tissue,tissue,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,139,NOUN
math,math,False,math,3-5|6-8|9-12|K-2,,False,False,False,,False,low,137,NOUN
weight,weight,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,133,NOUN
homeostatic,homeostatic,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,129,ADJ
julie,julie,False,ela|math,3-5|6-8|9-12|K-2,,False,False,False,,False,low,127,PROPN
plane,plane,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,127,NOUN
heart,heart,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,126,NOUN
organ,organ,False,science,3-5|6-8|9-12|K-2,3.ESS.1,False,False,False,,False,low,126,NOUN
past,past,False,ela|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,125,NOUN
moon,moon,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,125,PROPN
algorithm,algorithm,False,math,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,124,NOUN
character,character,False,ela|science|social-studies,3-5|6-8|9-12|K-2,RL.1.8,False,False,False,,False,medium,123,NOUN
middle,middle,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,123,ADJ
bird,bird,False,ela|math|science,3-5|6-8|9-12|K-2,L.1.4,False,False,False,,False,low,121,NOUN
bone,bone,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,121,NOUN
band,band,False,ela|math|science,3-5|6-8|9-12|K-2,RL.2.10,False,False,False,,False,low,120,NOUN
feedback,feedback,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,118,NOUN
spring,spring,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,118,NOUN
ionic,ionic,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,116,ADJ
sunlight,sunlight,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,114,NOUN
effectiveness,effectiveness,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,high,112,NOUN
frame,frame,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,111,NOUN
safety,safety,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,110,NOUN
basis,basis,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.3.1,False,False,False,,False,low,108,NOUN
ball,ball,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,107,NOUN
probability model,probability model,True,math,3-5|6-8|9-12|K-2,,False,False,False,,False,high,105,NP
ice,ice,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,103,NOUN
likely,likely,False,ela|math|science,3-5|6-8|9-12|K-2,L.3.1,False,False,False,,False,low,102,ADJ
literacy,literacy,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,101,PROPN
early,early,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.3.5,False,False,False,,False,low,101,ADJ
waste,waste,False,science,3-5|6-8|9-12|K-2,3.ESS.3,False,False,False,,False,low,101,NOUN
piece,piece,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,99,NOUN
bunny,bunny,False,math,3-5|6-8|K-2,,False,False,False,,False,low,99,NOUN
landform,landform,False,science|social-studies,3-5|6-8|9-12|K-2,4.ESS.1,False,False,False,,False,medium,99,NOUN
health,health,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,97,NOUN
society,society,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,96,NOUN
average,average,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,96,NOUN
theorem,theorem,False,math,6-8|9-12,,False,False,False,,False,low,96,PROPN
earthquake,earthquake,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,96,NOUN
cause,cause,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.5,False,False,False,,False,low,95,NOUN
static,static,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,95,ADJ
useful,useful,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,93,ADJ
family,family,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,93,NOUN
slope,slope,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,93,NOUN
today,today,False,ela|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,92,NOUN
age,age,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,92,NOUN
member,member,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,91,NOUN
land,land,False,math|science|social-studies,3-5|6-8|9-12|K-2,6.NS.2,False,False,False,,False,low,89,NOUN
stem,stem,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,88,NOUN
square,square,False,math|science,3-5|6-8|9-12|K-2,6.NS.2,False,False,False,,False,low,87,NOUN
loss,loss,False,science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,86,NOUN
planet,planet,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,86,PROPN
wire,wire,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,86,NOUN
fluency,fluency,False,ela|math,3-5|6-8|9-12|K-2,,False,False,False,,False,low,83,NOUN
modern,modern,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.8.9,False,False,False,,False,low,83,PROPN
maximum,maximum,False,ela|math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,83,ADJ
stream,stream,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,83,NOUN
frequency,frequency,False,ela|math|science,3-5|6-8|9-12|K-2,RF.1.3,False,False,False,,False,medium,82,NOUN
dot,dot,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,82,NOUN
speech,speech,False,ela|math|science,3-5|6-8|9-12|K-2,RI.7.7,False,False,False,,False,low,81,NOUN
paper,paper,False,math|science,3-5|6-8|9-12|K-2,7.SP.8,False,False,False,,False,low,81,NOUN
citizen,citizen,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,low,81,NOUN
tone,tone,False,ela|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,80,NOUN
root,root,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RF.4.3,False,False,False,,False,low,80,NOUN
criterion,criterion,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,False,medium,80,NOUN
garden,garden,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,80,NOUN
living,living,False,science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,79,PROPN
sample space,sample space,True,math,3-5|6-8|9-12|K-2,,False,False,False,,False,high,79,NP
usage,usage,False,ela|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,78,NOUN
certain,certain,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,SL.3.5,False,False,False,,False,low,78,ADJ
chance,chance,False,math|science,3-5|6-8|9-12|K-2,,False,False,False,,False,low,78,NOUN
non,non,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,8.NS.1,False,False,False,,False,low,77,ADJ
